hash,p,nP,nQ,n,max_total_degree,method,n_enum,verdict,count,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,wall_s,note
c44d9d649a23,3,6,5,11,159,exhaustive-bilinear,81,NONEMPTY,6,False,6,0,0,0,0,0,0,0.0,
2db81810e7ad,2,8,8,16,157,exhaustive-bilinear,128,NONEMPTY,24,False,2,22,8,0,0,0,8,0.02,
2db81810e7ad,3,8,8,16,157,exhaustive-bilinear,2187,NONEMPTY,630,False,22,608,8,0,0,0,8,0.34,
b8cb03dd9688,2,8,5,13,148,exhaustive-bilinear,16,NONEMPTY,64,False,1,63,8,0,0,0,8,0.0,
b8cb03dd9688,3,8,5,13,148,exhaustive-bilinear,81,NONEMPTY,486,False,0,486,8,0,0,0,8,0.01,
c37a1c94c6f2,2,7,7,14,154,exhaustive-bilinear,64,NONEMPTY,160,False,5,155,8,0,0,0,8,0.01,
c37a1c94c6f2,3,7,7,14,154,exhaustive-bilinear,729,NONEMPTY,522,False,22,500,8,0,0,0,8,0.05,
168b6eb04780,2,7,7,14,140,exhaustive-bilinear,64,EMPTY,0,False,,,,,,,,0.0,
168b6eb04780,3,7,7,14,140,exhaustive-bilinear,729,EMPTY,0,False,,,,,,,,0.02,
cdcf3cc59c58,2,5,8,13,141,exhaustive-bilinear,16,NONEMPTY,8,False,2,6,6,0,0,0,6,0.0,
cdcf3cc59c58,3,5,8,13,141,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
70aab4481767,2,8,7,15,149,exhaustive-bilinear,64,NONEMPTY,16,False,2,14,8,0,0,0,8,0.01,
70aab4481767,3,8,7,15,149,exhaustive-bilinear,729,NONEMPTY,18,False,2,16,8,0,0,0,8,0.12,
5b6a8c32ede8,2,6,7,13,155,exhaustive-bilinear,32,NONEMPTY,20,False,8,12,8,0,0,0,8,0.02,
5b6a8c32ede8,3,6,7,13,155,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.01,
ad2397183dda,2,8,7,15,159,exhaustive-bilinear,64,NONEMPTY,256,False,5,251,8,0,0,0,8,0.02,
ad2397183dda,3,8,7,15,159,exhaustive-bilinear,729,NONEMPTY,54,False,2,52,8,0,0,0,8,0.06,
