hash,p,family,nP,nB,n,method,n_enum,verdict,count,n_verified,n_verify_fail,n_degenerate,n_tear_nonempty,n_tear_empty,n_tear_other,climb_p2,climb_p2_tear_nonempty,climb_p3,wall_s,note
74632f2d916a,7,F2,5,6,11,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.098,
c3c953a0a29e,7,F2,4,5,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.003,
e6e9a1f6213e,7,F2,7,5,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.168,
1c05d7345333,7,F2,7,5,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.108,
1028ca3fdd4a,7,F2,5,5,10,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.043,
cd7eaad97143,7,F2,5,6,11,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.088,
d2661faab709,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.013,
ab6d931b734f,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.01,
00f4438dc037,7,F2,4,6,10,exhaustive-bilinear,343,NONEMPTY,6,6,0,0,0,6,0,0,0,0,0.023,
38e6d6386b66,7,F2,4,5,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.003,
3d700b5484ff,7,F2,5,7,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.178,
02e30c5af5fa,7,F2,7,4,11,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.016,
c16120363d0a,7,F2,5,7,12,exhaustive-bilinear,2401,EMPTY,0,0,0,0,0,0,0,0,0,0,0.146,
e43c4718fea8,7,F3,4,5,9,exhaustive-bilinear,343,EMPTY,0,0,0,0,0,0,0,0,0,0,0.002,
