family,hash,poly,tdeg,degx,degy,nterms,u_modp,u_q,t_modp,t_q,sy,sy_nodes,sy_leaves,t_sy,fib,t_fib,agree,crux,label
F3,99162eeffecd,x^5 + x^4*y + 2*x^4 + x,5,5,1,4,PASS,PASS,0.008,0.007,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.142,CORROBORATED,True,"F3 u+u^4*w, w=y+f(x) deg f=1"
F3,2d711642b726,x,1,1,0,1,PASS,PASS,0.008,0.007,COORDINATE,1,0,0.0,INCONCLUSIVE,0.138,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,164a86c4381d,-3*x^5 + x^4*y + x^4 + x,5,5,1,4,PASS,PASS,0.007,0.008,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.158,CORROBORATED,True,"F3 u+u^4*w, w=y+f(x) deg f=1"
F3,b6a796932f30,-3*x^6 + 2*x^5 - 3*x^4 + x^3*y + x,6,6,1,5,PASS,PASS,0.007,0.008,NON_COORDINATE,5,2,0.0,NON_COORDINATE_BY_R,0.163,CORROBORATED,True,"F3 u+u^3*w, w=y+f(x) deg f=3"
F3,c159e2035a5e,x + 4*y - 1,1,1,1,3,PASS,PASS,0.009,0.008,COORDINATE,2,0,0.0,INCONCLUSIVE,0.15,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,2dd83ba88da5,x - 1*y + 2,1,1,1,3,PASS,PASS,0.009,0.007,COORDINATE,2,0,0.0,INCONCLUSIVE,0.152,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,50151cad3cb3,-2*y^4 + 3*y^3 - 1*y^2 + x - 5*y - 4,4,1,4,6,PASS,PASS,0.008,0.008,COORDINATE,5,0,0.0,INCONCLUSIVE,0.155,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,ec61335e2b47,y^2 + x + 3*y + 1,2,1,2,4,PASS,PASS,0.007,0.007,COORDINATE,3,0,0.0,INCONCLUSIVE,0.15,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,c5c81aae0c89,x - 3*y - 3,1,1,1,3,PASS,PASS,0.009,0.008,COORDINATE,2,0,0.0,INCONCLUSIVE,0.148,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,c3df27bbdc28,x^3*y + 2*x^3 + x,4,3,1,3,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.16,CORROBORATED,True,"F3 u+u^3*w, w=y+f(x) deg f=0"
F3,bf591828d5fe,x^5 + x^4*y + 3*x^4 + x,5,5,1,4,PASS,PASS,0.007,0.008,NON_COORDINATE,3,2,0.0,NON_COORDINATE_BY_R,0.149,CORROBORATED,True,"F3 u+u^4*w, w=y+f(x) deg f=1"
F3,3a8136c16569,-1*x^2*y^2 + y^3 + x,4,2,3,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F3 x + y^3 + correction
F3,983c329c70f2,x + 2*y + 4,1,1,1,3,PASS,PASS,0.007,0.008,COORDINATE,2,0,0.0,INCONCLUSIVE,0.132,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,4841de33aaf7,-1*y^3 - 1*y^2 + x + 2,3,1,3,4,PASS,PASS,0.007,0.007,COORDINATE,3,0,0.0,INCONCLUSIVE,0.133,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,f1f73e96aadc,y^2 + x + 3*y - 5,2,1,2,4,PASS,PASS,0.007,0.007,COORDINATE,3,0,0.0,INCONCLUSIVE,0.145,CONSISTENT,False,F3 triangular x + f(y) + g(y)
F3,416f3d522bbf,x^2*y + x^2 + x,3,2,1,3,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.137,CORROBORATED,True,"F3 u+u^2*w, w=y+f(x) deg f=0"
F4,937cb130d67c,2*x^4*y^3 + x^5 - 3*x^4 + 2*x,7,5,3,4,FAIL,FAIL,0.007,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
F4,514920635ee1,-3*x^4*y^5 + 2*x^5*y^3 + 2*x^5*y^2 - 3*x*y^3 + 2*x,9,5,5,5,FAIL,FAIL,0.007,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (5 terms)
F4,5ae16277bcb2,3*x^2*y^5 + 2*y^5 + x^4 + x,7,4,5,4,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
F4,1e6071cba095,-3*x^3*y^4 - 1*x^2*y^5 + 2*y^5 - 1*x^3*y + 2*x,7,3,5,5,FAIL,FAIL,0.007,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (5 terms)
F4,d7c5d76f7732,-1*x^4*y^5 - 2*x^4*y^2 - 1*x,9,4,5,3,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (3 terms)
F4,c4659f3919c0,3*x^5*y^3 + 2*x^4*y^4 - 2*x^2*y^3 + y^3 + 2*x,8,5,4,5,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (5 terms)
F4,80a86ea85914,-3*x^2*y^2 - 3*y^4 - 2*y^2 + 2*x - 1*y,4,2,4,5,FAIL,FAIL,0.006,0.006,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (5 terms)
F4,d822375eba57,3*x^4*y^5 + 2*x*y^4 - 1*x,9,4,5,3,FAIL,FAIL,0.006,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (3 terms)
F4,948919f80bd3,-3*x^5*y^5 + x,10,5,5,2,PASS,PASS,0.006,0.006,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.168,CORROBORATED,True,F4 random sparse (2 terms)
F4,cd8cc79901e8,-1*x^4 + 3*x^3 + 2*x,4,4,0,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (3 terms)
F4,dea3d31f97f5,-3*x^4*y^5 + 3*x*y^3 - 2*x*y^2 + 2*x,9,4,5,4,FAIL,FAIL,0.008,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
F4,a051ba840b19,-3*x^5*y - 1*x^3 + 2*y^3 - 2*x*y - 1*x,6,5,3,5,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (5 terms)
F4,80d5369a8fcc,-3*x^2*y^5 + 2*y^5 + x,7,2,5,3,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (3 terms)
F4,800a30aafc23,-1*x^4*y + 2*x^2*y^3,5,4,3,2,FAIL,FAIL,0.006,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (3 terms)
F4,329f1df22d7d,x^3*y^5 + 3*x^5*y^2 - 1*y^5 + x,8,5,5,4,FAIL,FAIL,0.009,0.008,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
F4,6f42a52790ac,-1*x^5*y^4 + 2*x*y^5 - 3*x*y^4 - 3*x^3 - 2*x^2 + 2*x,9,5,5,6,FAIL,FAIL,0.008,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (6 terms)
F4,8b8f97a28b0e,-3*x^2*y + 2*x,3,2,1,2,PASS,PASS,0.006,0.006,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.146,CORROBORATED,True,F4 random sparse (2 terms)
F4,020cc92ed4f1,3*x^3*y^2 - 3*x^2*y + x,5,3,2,3,PASS,PASS,0.007,0.007,NON_COORDINATE,1,1,0.0,NON_COORDINATE_BY_R,0.155,CORROBORATED,True,F4 random sparse (3 terms)
F4,dde632c32371,x^5*y^5 - 3*x^2*y^5 - 1*x^3*y^3 + 2*x,10,5,5,4,FAIL,FAIL,0.01,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
F4,72c438ea6f45,2*x^2*y^3 + y^3 - 1*x + y,5,2,3,4,FAIL,FAIL,0.007,0.007,NOT_RUN,,,0.0,NOT_RUN,0.0,NA,False,F4 random sparse (4 terms)
