hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
743baa1812f2,"G1 h0=-1 c=2 a=0 n=7 m=2 t=[(0, Fraction(-2, 1)), (2, Fraction(1, 1))]",11,2,9,v-quadratic|S3_positive_genus,True,0,8,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
a76403019666,"G1 h0=-3 c=1 a=2 n=7 m=2 t=[(0, Fraction(-3, 1)), (1, Fraction(2, 1)), (2, Fraction(2, 1)), (3, Fraction(-3, 1))]",13,2,33,v-quadratic|S3_positive_genus,True,0,8,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
dbbc1afb5a49,"G1 h0=2 c=-2 a=0 n=8 m=2 t=[(0, Fraction(-1, 1))]",10,2,5,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
97673b78b7d5,"G1 h0=2 c=2 a=0 n=8 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(-3, 1))]",10,2,9,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,9,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
52200030d8b2,"G1 h0=-1 c=-1 a=2 n=8 m=2 t=[(0, Fraction(-1, 1)), (1, Fraction(-2, 1)), (2, Fraction(2, 1))]",12,2,33,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,9,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
01a4434f070f,"G1 h0=-3 c=2 a=2 n=8 m=2 t=[(0, Fraction(-2, 1)), (1, Fraction(-1, 1)), (2, Fraction(2, 1)), (3, Fraction(-1, 1))]",14,2,36,v-quadratic|S2_ge3_places|S3_positive_genus,True,0,9,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,3,iii,0,nonzero holomorphic 1-form on a compact curve of genus 3,NONVANISHING,,,,,
adba1efa2bb6,"G1 h0=-1 c=-2 a=-1 n=9 m=2 t=[(0, Fraction(1, 1))]",11,2,30,v-quadratic|S3_positive_genus,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
395813152648,"G1 h0=2 c=1 a=0 n=9 m=2 t=[(1, Fraction(1, 1))]",11,2,5,v-quadratic|S3_positive_genus,True,0,10,10,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
04203b14c22d,"G1 h0=-1 c=-1 a=-1 n=9 m=2 t=[(0, Fraction(2, 1)), (1, Fraction(1, 1)), (2, Fraction(2, 1))]",13,2,36,v-quadratic|S3_positive_genus,True,0,10,11,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
876f16251356,"G1 h0=2 c=-2 a=-1 n=9 m=2 t=[(0, Fraction(3, 1)), (1, Fraction(-2, 1)), (3, Fraction(2, 1))]",15,2,39,v-quadratic|S3_positive_genus,True,0,10,12,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,4,iii,0,nonzero holomorphic 1-form on a compact curve of genus 4,NONVANISHING,,,,,
